final_budget,method,method_label,iter,mean_psnr,std_psnr,runs
640,gaussianimage_plus_residual,GaussianImage++ residual,450,26.70152711868286,3.2719444706167744,8
640,gaussianimage_plus_residual,GaussianImage++ residual,475,27.039703130722046,3.4325023850082035,8
640,gaussianimage_plus_residual,GaussianImage++ residual,499,27.21760654449463,3.497622390758352,8
640,image_gs_residual,Image-GS residual,0,16.011339902877808,1.2810216582294487,8
640,image_gs_residual,Image-GS residual,25,18.946464776992798,2.263863615095965,8
640,image_gs_residual,Image-GS residual,50,20.312662839889526,2.732723881625946,8
640,image_gs_residual,Image-GS residual,75,21.149731159210205,3.015383396680096,8
640,image_gs_residual,Image-GS residual,100,21.587857723236084,3.132389523021093,8
640,image_gs_residual,Image-GS residual,125,22.325775623321533,3.369643317197108,8
640,image_gs_residual,Image-GS residual,150,22.957642078399658,3.3233487940781243,8
640,image_gs_residual,Image-GS residual,175,22.890707969665527,2.9488555924638,8
640,image_gs_residual,Image-GS residual,200,23.857670545578003,3.1662024390329533,8
640,image_gs_residual,Image-GS residual,225,24.34261202812195,3.187628737236143,8
640,image_gs_residual,Image-GS residual,250,22.91329264640808,2.556746573183658,8
640,image_gs_residual,Image-GS residual,275,24.923176288604736,3.174387798959861,8
640,image_gs_residual,Image-GS residual,300,25.407144784927368,3.2413985244446977,8
640,image_gs_residual,Image-GS residual,325,25.737149953842163,3.260318100927555,8
640,image_gs_residual,Image-GS residual,350,25.709953546524048,3.184357815644179,8
640,image_gs_residual,Image-GS residual,375,26.225341081619263,3.30690602468758,8
640,image_gs_residual,Image-GS residual,400,26.500809907913208,3.379962041797678,8
640,image_gs_residual,Image-GS residual,425,26.020517110824585,3.1398209398696673,8
640,image_gs_residual,Image-GS residual,450,26.887696981430054,3.411581451502301,8
640,image_gs_residual,Image-GS residual,475,27.141077995300293,3.5039464092019874,8
640,image_gs_residual,Image-GS residual,499,27.2841157913208,3.5959042530347016,8
640,structsplat_flanking_tensor,SS flanking + tensor,0,16.625977516174316,1.3110239773943102,8
640,structsplat_flanking_tensor,SS flanking + tensor,25,20.741313695907593,2.384523241344653,8
640,structsplat_flanking_tensor,SS flanking + tensor,50,21.880338430404663,2.5097810086932317,8
640,structsplat_flanking_tensor,SS flanking + tensor,75,22.51173734664917,2.5804863499962067,8
640,structsplat_flanking_tensor,SS flanking + tensor,100,22.902669429779053,2.6556480298922858,8
640,structsplat_flanking_tensor,SS flanking + tensor,125,23.5646333694458,2.7642079576792753,8
640,structsplat_flanking_tensor,SS flanking + tensor,150,23.993406772613525,2.7837077754555946,8
640,structsplat_flanking_tensor,SS flanking + tensor,175,23.84828782081604,2.7180779020764416,8
640,structsplat_flanking_tensor,SS flanking + tensor,200,24.64502501487732,2.852344396269621,8
640,structsplat_flanking_tensor,SS flanking + tensor,225,24.995599508285522,2.903717293771475,8
640,structsplat_flanking_tensor,SS flanking + tensor,250,23.76628017425537,2.6232815910838596,8
640,structsplat_flanking_tensor,SS flanking + tensor,275,25.416889190673828,2.9781654097423966,8
640,structsplat_flanking_tensor,SS flanking + tensor,300,25.761122941970825,3.06163466050751,8
640,structsplat_flanking_tensor,SS flanking + tensor,325,25.93128800392151,3.0992742332273178,8
640,structsplat_flanking_tensor,SS flanking + tensor,350,25.935019493103027,3.078591247550098,8
640,structsplat_flanking_tensor,SS flanking + tensor,375,26.36785888671875,3.125054657880861,8
640,structsplat_flanking_tensor,SS flanking + tensor,400,26.551324367523193,3.168657723143631,8
640,structsplat_flanking_tensor,SS flanking + tensor,425,26.265868186950684,3.1342934334979344,8
640,structsplat_flanking_tensor,SS flanking + tensor,450,26.897835969924927,3.2305559909474257,8
640,structsplat_flanking_tensor,SS flanking + tensor,475,27.12829327583313,3.2967297071218913,8
640,structsplat_flanking_tensor,SS flanking + tensor,499,27.263084411621094,3.3410752124730134,8
640,structsplat_onedge_residual,SS on-edge + residual,0,16.551165223121643,1.3043055193108428,8
640,structsplat_onedge_residual,SS on-edge + residual,25,20.774927854537964,2.4168009761650984,8
640,structsplat_onedge_residual,SS on-edge + residual,50,21.922250747680664,2.562490360313718,8
640,structsplat_onedge_residual,SS on-edge + residual,75,22.57831835746765,2.6666834133889132,8
640,structsplat_onedge_residual,SS on-edge + residual,100,22.884904146194458,2.7093485656452576,8
640,structsplat_onedge_residual,SS on-edge + residual,125,23.461889266967773,2.8433185065709004,8
640,structsplat_onedge_residual,SS on-edge + residual,150,23.858959197998047,2.9332302526956235,8
640,structsplat_onedge_residual,SS on-edge + residual,175,23.685685396194458,2.811260182487026,8
640,structsplat_onedge_residual,SS on-edge + residual,200,24.50043821334839,2.9867423612140085,8
640,structsplat_onedge_residual,SS on-edge + residual,225,24.87665343284607,3.023946420266128,8
640,structsplat_onedge_residual,SS on-edge + residual,250,23.59002923965454,2.6389919679917844,8
640,structsplat_onedge_residual,SS on-edge + residual,275,25.326295137405396,3.0508224472013343,8
640,structsplat_onedge_residual,SS on-edge + residual,300,25.679163217544556,3.126476819264778,8
640,structsplat_onedge_residual,SS on-edge + residual,325,25.931479692459106,3.197271125761588,8
640,structsplat_onedge_residual,SS on-edge + residual,350,25.938661813735962,3.17814569046587,8
640,structsplat_onedge_residual,SS on-edge + residual,375,26.392977237701416,3.2652897632124045,8
640,structsplat_onedge_residual,SS on-edge + residual,400,26.617548942565918,3.3213497068847277,8
640,structsplat_onedge_residual,SS on-edge + residual,425,26.31072163581848,3.2515872532873775,8
640,structsplat_onedge_residual,SS on-edge + residual,450,27.003540515899658,3.376669379690019,8
640,structsplat_onedge_residual,SS on-edge + residual,475,27.250572681427002,3.439063914284574,8
640,structsplat_onedge_residual,SS on-edge + residual,499,27.398927688598633,3.5050932673343844,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,0,17.072120308876038,1.5521458497332297,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,25,20.995131254196167,2.4996658394011018,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,50,22.13328981399536,2.61553937552643,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,75,22.75366973876953,2.6684056058599768,8
