image,budget,seed,strategy,tensor,density,sampling,color,scale,opacity,renderer,loss,optimizer,lr_schedule,refine,pyramid,config_label,psnr,ssim,ms_ssim,lpips,n_gaussians,init_seconds,fit_seconds,total_seconds
000000186042,512,0,aniso_flanking,central,structure,wse,bilinear,uniform,none,additive,charbonnier,adamw,cosine,none,pyramid,strategy=aniso_flanking|tensor=central|density=structure|sampling=wse|color=bilinear|scale=uniform|renderer=additive|opacity=none|loss=charbonnier|optimizer=adamw|lr_schedule=cosine|refine=none|pyramid=pyramid,-19.4943,0.03909,0.02299,,512,0.0,6.047026872634888,6.047026872634888
000000186042,512,0,iso_blue_noise,central,structure,density_random,bilinear,uniform,constant,normalized,charbonnier,adam,none,residual_add,single,strategy=iso_blue_noise|tensor=central|density=structure|sampling=density_random|color=bilinear|scale=uniform|renderer=normalized|opacity=constant|loss=charbonnier|optimizer=adam|lr_schedule=none|refine=residual_add|pyramid=single,20.2956,0.55875,0.81776,,576,0.0019876956939697266,0.18982982635498047,0.1919548511505127
000000186042,512,0,aniso_flanking,central,variance,jittered_grid,local_mean,spacing,constant,normalized,charbonnier,adamw,none,none,pyramid,strategy=aniso_flanking|tensor=central|density=variance|sampling=jittered_grid|color=local_mean|scale=spacing|renderer=normalized|opacity=constant|loss=charbonnier|optimizer=adamw|lr_schedule=none|refine=none|pyramid=pyramid,21.7495,0.64006,0.88001,,512,0.0,0.2393503189086914,0.2393503189086914
000000186042,512,0,aniso_flanking,scharr,hybrid,wse,two_sided,spacing,none,normalized,l1,adam,cosine,residual_add,single,strategy=aniso_flanking|tensor=scharr|density=hybrid|sampling=wse|color=two_sided|scale=spacing|renderer=normalized|opacity=none|loss=l1|optimizer=adam|lr_schedule=cosine|refine=residual_add|pyramid=single,23.7418,0.74015,0.9102,,576,4.404872179031372,0.1711113452911377,4.5761003494262695
000000186042,512,0,aniso_flanking,central,hybrid,wse,bilinear,spacing,none,normalized,l1,adamw,none,none,single,strategy=aniso_flanking|tensor=central|density=hybrid|sampling=wse|color=bilinear|scale=spacing|renderer=normalized|opacity=none|loss=l1|optimizer=adamw|lr_schedule=none|refine=none|pyramid=single,26.868,0.80862,0.96069,,512,4.368563175201416,0.14774727821350098,4.51640510559082
000000186042,512,0,aniso_flanking,scharr,variance,wse,bilinear,spacing,none,additive,charbonnier,adamw,none,prune_residual_add,pyramid,strategy=aniso_flanking|tensor=scharr|density=variance|sampling=wse|color=bilinear|scale=spacing|renderer=additive|opacity=none|loss=charbonnier|optimizer=adamw|lr_schedule=none|refine=prune_residual_add|pyramid=pyramid,-6.6647,0.36193,0.4646,,576,0.0,4.341537952423096,4.341537952423096
000000186042,512,0,iso_blue_noise,scharr,variance,wse,two_sided,spacing,constant,additive,l1,adam,none,residual_add,single,strategy=iso_blue_noise|tensor=scharr|density=variance|sampling=wse|color=two_sided|scale=spacing|renderer=additive|opacity=constant|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add|pyramid=single,-1.1592,0.58623,0.686,,576,2.0834920406341553,0.16955947875976562,2.253286600112915
000000186042,512,0,iso_blue_noise,central,variance,wse,bilinear,uniform,none,additive,charbonnier,adam,none,none,single,strategy=iso_blue_noise|tensor=central|density=variance|sampling=wse|color=bilinear|scale=uniform|renderer=additive|opacity=none|loss=charbonnier|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,-0.7995,0.23493,0.24538,,512,2.1607449054718018,0.1462569236755371,2.3071000576019287
000000186042,512,0,aniso_flanking,scharr,hybrid,wse,bilinear,uniform,constant,normalized,l1,adamw,none,prune_residual_add,single,strategy=aniso_flanking|tensor=scharr|density=hybrid|sampling=wse|color=bilinear|scale=uniform|renderer=normalized|opacity=constant|loss=l1|optimizer=adamw|lr_schedule=none|refine=prune_residual_add|pyramid=single,22.0541,0.64205,0.88526,,576,4.390664577484131,0.27949976921081543,4.670296907424927
000000186042,512,0,iso_blue_noise,central,hybrid,jittered_grid,two_sided,uniform,constant,additive,l1,adamw,none,prune_residual_add,pyramid,strategy=iso_blue_noise|tensor=central|density=hybrid|sampling=jittered_grid|color=two_sided|scale=uniform|renderer=additive|opacity=constant|loss=l1|optimizer=adamw|lr_schedule=none|refine=prune_residual_add|pyramid=pyramid,-12.4053,0.04186,0.0453,,576,0.0,0.1821763515472412,0.1821763515472412
000000186042,512,0,aniso_onedge,central,variance,density_random,bilinear,spacing,none,additive,l1,adam,none,none,single,strategy=aniso_onedge|tensor=central|density=variance|sampling=density_random|color=bilinear|scale=spacing|renderer=additive|opacity=none|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,14.5823,0.45346,0.69627,,512,0.006335020065307617,0.14911532402038574,0.15553498268127441
000000186042,512,0,iso_blue_noise,scharr,structure,jittered_grid,two_sided,spacing,none,normalized,charbonnier,adamw,none,none,single,strategy=iso_blue_noise|tensor=scharr|density=structure|sampling=jittered_grid|color=two_sided|scale=spacing|renderer=normalized|opacity=none|loss=charbonnier|optimizer=adamw|lr_schedule=none|refine=none|pyramid=single,21.8357,0.62771,0.88126,,512,0.0021283626556396484,0.15277957916259766,0.15499258041381836
000000186042,512,0,aniso_onedge,central,hybrid,wse,local_mean,uniform,none,additive,charbonnier,adamw,none,residual_add,single,strategy=aniso_onedge|tensor=central|density=hybrid|sampling=wse|color=local_mean|scale=uniform|renderer=additive|opacity=none|loss=charbonnier|optimizer=adamw|lr_schedule=none|refine=residual_add|pyramid=single,-8.3851,0.31242,0.27673,,576,5.101301193237305,0.28617119789123535,5.387657403945923
000000186042,512,0,iso_blue_noise,scharr,structure,density_random,bilinear,uniform,none,normalized,charbonnier,adamw,cosine,residual_add,pyramid,strategy=iso_blue_noise|tensor=scharr|density=structure|sampling=density_random|color=bilinear|scale=uniform|renderer=normalized|opacity=none|loss=charbonnier|optimizer=adamw|lr_schedule=cosine|refine=residual_add|pyramid=pyramid,18.5344,0.4977,0.70781,,576,0.0,0.26978564262390137,0.26978564262390137
000000186042,512,0,iso_blue_noise,central,variance,jittered_grid,two_sided,spacing,constant,normalized,l1,adamw,cosine,none,single,strategy=iso_blue_noise|tensor=central|density=variance|sampling=jittered_grid|color=two_sided|scale=spacing|renderer=normalized|opacity=constant|loss=l1|optimizer=adamw|lr_schedule=cosine|refine=none|pyramid=single,21.4528,0.60429,0.86582,,512,0.0026865005493164062,0.26727724075317383,0.270186185836792
000000186042,512,0,iso_blue_noise,scharr,variance,wse,two_sided,spacing,none,additive,l1,adam,none,prune_residual_add,pyramid,strategy=iso_blue_noise|tensor=scharr|density=variance|sampling=wse|color=two_sided|scale=spacing|renderer=additive|opacity=none|loss=l1|optimizer=adam|lr_schedule=none|refine=prune_residual_add|pyramid=pyramid,-4.8138,0.35582,0.387,,576,0.0,2.710167407989502,2.710167407989502
000000186042,512,0,aniso_flanking,scharr,hybrid,jittered_grid,local_mean,spacing,constant,additive,l1,adam,cosine,none,single,strategy=aniso_flanking|tensor=scharr|density=hybrid|sampling=jittered_grid|color=local_mean|scale=spacing|renderer=additive|opacity=constant|loss=l1|optimizer=adam|lr_schedule=cosine|refine=none|pyramid=single,0.434,0.23179,0.34442,,512,0.003905057907104492,0.18308353424072266,0.18716931343078613
000000186042,512,0,aniso_onedge,central,structure,jittered_grid,bilinear,spacing,none,normalized,l1,adamw,none,prune_residual_add,single,strategy=aniso_onedge|tensor=central|density=structure|sampling=jittered_grid|color=bilinear|scale=spacing|renderer=normalized|opacity=none|loss=l1|optimizer=adamw|lr_schedule=none|refine=prune_residual_add|pyramid=single,22.9506,0.70991,0.91649,,576,0.0019016265869140625,0.20122885704040527,0.20326757431030273
000000186042,512,0,iso_blue_noise,central,hybrid,wse,bilinear,spacing,none,additive,charbonnier,adam,cosine,residual_add,single,strategy=iso_blue_noise|tensor=central|density=hybrid|sampling=wse|color=bilinear|scale=spacing|renderer=additive|opacity=none|loss=charbonnier|optimizer=adam|lr_schedule=cosine|refine=residual_add|pyramid=single,-6.9269,0.52155,0.58543,,576,2.5047991275787354,0.19029021263122559,2.6952576637268066
000000186042,512,0,iso_blue_noise,scharr,hybrid,density_random,local_mean,spacing,none,additive,l1,adam,cosine,prune_residual_add,pyramid,strategy=iso_blue_noise|tensor=scharr|density=hybrid|sampling=density_random|color=local_mean|scale=spacing|renderer=additive|opacity=none|loss=l1|optimizer=adam|lr_schedule=cosine|refine=prune_residual_add|pyramid=pyramid,-4.6643,0.21988,0.28461,,576,0.0,0.19733071327209473,0.19733071327209473
000000186042,512,0,aniso_onedge,central,structure,density_random,two_sided,spacing,constant,additive,charbonnier,adam,cosine,prune_residual_add,pyramid,strategy=aniso_onedge|tensor=central|density=structure|sampling=density_random|color=two_sided|scale=spacing|renderer=additive|opacity=constant|loss=charbonnier|optimizer=adam|lr_schedule=cosine|refine=prune_residual_add|pyramid=pyramid,-1.6751,0.22514,0.30385,,576,0.0,0.21488666534423828,0.21488666534423828
000000186042,512,0,iso_blue_noise,central,structure,wse,bilinear,spacing,none,additive,l1,adam,cosine,none,single,strategy=iso_blue_noise|tensor=central|density=structure|sampling=wse|color=bilinear|scale=spacing|renderer=additive|opacity=none|loss=l1|optimizer=adam|lr_schedule=cosine|refine=none|pyramid=single,16.0326,0.43336,0.67634,,512,2.6595730781555176,0.16348028182983398,2.823201894760132
000000186042,512,0,iso_blue_noise,central,hybrid,wse,local_mean,uniform,none,normalized,l1,adamw,none,prune_residual_add,pyramid,strategy=iso_blue_noise|tensor=central|density=hybrid|sampling=wse|color=local_mean|scale=uniform|renderer=normalized|opacity=none|loss=l1|optimizer=adamw|lr_schedule=none|refine=prune_residual_add|pyramid=pyramid,18.7445,0.50918,0.72671,,576,0.0,2.849963903427124,2.849963903427124
000000186042,512,0,iso_blue_noise,scharr,structure,jittered_grid,two_sided,spacing,none,normalized,l1,adamw,none,residual_add,single,strategy=iso_blue_noise|tensor=scharr|density=structure|sampling=jittered_grid|color=two_sided|scale=spacing|renderer=normalized|opacity=none|loss=l1|optimizer=adamw|lr_schedule=none|refine=residual_add|pyramid=single,21.8561,0.61723,0.87989,,576,0.0018544197082519531,0.19098925590515137,0.19295358657836914
000000186042,512,0,aniso_flanking,scharr,variance,jittered_grid,two_sided,spacing,constant,normalized,charbonnier,adamw,none,residual_add,single,strategy=aniso_flanking|tensor=scharr|density=variance|sampling=jittered_grid|color=two_sided|scale=spacing|renderer=normalized|opacity=constant|loss=charbonnier|optimizer=adamw|lr_schedule=none|refine=residual_add|pyramid=single,23.2984,0.71003,0.92436,,576,0.0024566650390625,0.19754242897033691,0.20009756088256836
000000186042,512,0,aniso_flanking,scharr,structure,density_random,local_mean,uniform,none,additive,l1,adam,cosine,prune_residual_add,single,strategy=aniso_flanking|tensor=scharr|density=structure|sampling=density_random|color=local_mean|scale=uniform|renderer=additive|opacity=none|loss=l1|optimizer=adam|lr_schedule=cosine|refine=prune_residual_add|pyramid=single,-10.6922,0.23153,0.19019,,576,0.0032203197479248047,0.20973896980285645,0.21311211585998535
000000186042,512,0,iso_blue_noise,scharr,structure,wse,local_mean,spacing,none,normalized,charbonnier,adam,none,none,pyramid,strategy=iso_blue_noise|tensor=scharr|density=structure|sampling=wse|color=local_mean|scale=spacing|renderer=normalized|opacity=none|loss=charbonnier|optimizer=adam|lr_schedule=none|refine=none|pyramid=pyramid,23.9905,0.68818,0.92221,,512,0.0,2.2555665969848633,2.2555665969848633
000000186042,512,0,iso_blue_noise,scharr,hybrid,jittered_grid,two_sided,spacing,none,additive,l1,adamw,none,none,pyramid,strategy=iso_blue_noise|tensor=scharr|density=hybrid|sampling=jittered_grid|color=two_sided|scale=spacing|renderer=additive|opacity=none|loss=l1|optimizer=adamw|lr_schedule=none|refine=none|pyramid=pyramid,-5.018,0.12213,0.16403,,512,0.0,0.15085864067077637,0.15085864067077637
